ip,port,country,asn,isp,first_seen,last_seen,latitude,longitude
185.241.208.172,9001,NO,AS51167,Contabo GmbH,2025-09-01,2025-12-25,59.9139,10.7522
23.129.64.216,443,AU,AS19318,Interserver Inc,2025-09-15,2025-12-25,-33.8688,151.2093
23.129.64.217,9001,AU,AS19318,Interserver Inc,2025-09-15,2025-12-25,-33.8688,151.2093
185.220.101.3,8080,DE,AS24940,Hetzner Online GmbH,2025-10-01,2025-12-25,50.1109,8.6821
185.220.101.4,8888,DE,AS24940,Hetzner Online GmbH,2025-10-01,2025-12-25,50.1109,8.6821
192.42.116.16,443,JP,AS7506,GMO Internet Inc,2025-10-15,2025-12-25,35.6762,139.6503
192.42.116.17,9001,JP,AS7506,GMO Internet Inc,2025-10-15,2025-12-25,35.6762,139.6503
51.210.242.234,443,PL,AS16276,OVH SAS,2025-11-01,2025-12-25,52.2297,21.0122
51.210.242.235,9001,PL,AS16276,OVH SAS,2025-11-01,2025-12-25,52.2297,21.0122
176.10.104.240,443,IT,AS1267,Vodafone Italia S.p.A.,2025-11-10,2025-12-25,41.9028,12.4964
176.10.104.241,9001,IT,AS1267,Vodafone Italia S.p.A.,2025-11-10,2025-12-25,41.9028,12.4964
103.236.201.88,443,IN,AS23930,Asianet Satellite Communications,2025-11-20,2025-12-25,28.7041,77.1025
103.236.201.89,9001,IN,AS23930,Asianet Satellite Communications,2025-11-20,2025-12-25,28.7041,77.1025
179.43.167.194,443,BR,AS262287,MAXIHOST LTDA,2025-12-01,2025-12-25,-23.5505,-46.6333
179.43.167.195,9001,BR,AS262287,MAXIHOST LTDA,2025-12-01,2025-12-25,-23.5505,-46.6333
141.98.252.45,443,FI,AS60068,Datacamp Limited,2025-12-10,2025-12-25,60.1695,24.9354
141.98.252.46,9001,FI,AS60068,Datacamp Limited,2025-12-10,2025-12-25,60.1695,24.9354
66.42.57.149,23,MX,AS19318,Interserver Inc,2025-12-15,2025-12-25,19.4326,-99.1332
66.42.57.150,3389,MX,AS19318,Interserver Inc,2025-12-15,2025-12-25,19.4326,-99.1332
